match_id,match_type,bank_transaction_ids,book_transaction_ids,expected_confidence,explanation
MATCH001,exact,BANK0001,BOOK0001,99,"Reference number (INV1001), amount (2500), date and counterparty name all match exactly between the book entry and the bank credit."
MATCH002,exact,BANK0002,BOOK0002,99,"Reference number (INV1002), amount (4000), date and counterparty name all match exactly between the book entry and the bank credit."
MATCH003,exact,BANK0003,BOOK0003,99,"Reference number (INV1003), amount (5000), date and counterparty name all match exactly between the book entry and the bank credit."
MATCH004,exact,BANK0004,BOOK0004,99,"Reference number (INV1004), amount (7500), date and counterparty name all match exactly between the book entry and the bank credit."
MATCH005,exact,BANK0005,BOOK0005,99,"Reference number (INV1005), amount (10000), date and counterparty name all match exactly between the book entry and the bank credit."
MATCH006,exact,BANK0006,BOOK0006,99,"Reference number (INV1006), amount (12500), date and counterparty name all match exactly between the book entry and the bank credit."
MATCH007,exact,BANK0007,BOOK0007,99,"Reference number (INV1007), amount (15000), date and counterparty name all match exactly between the book entry and the bank credit."
MATCH008,exact,BANK0008,BOOK0008,99,"Reference number (INV1008), amount (25000), date and counterparty name all match exactly between the book entry and the bank credit."
MATCH009,exact,BANK0009,BOOK0009,99,"Reference number (INV1009), amount (50000), date and counterparty name all match exactly between the book entry and the bank credit."
MATCH010,exact,BANK0010,BOOK0010,99,"Reference number (INV1010), amount (2500), date and counterparty name all match exactly between the book entry and the bank credit."
MATCH011,exact,BANK0011,BOOK0011,99,"Reference number (INV1011), amount (4000), date and counterparty name all match exactly between the book entry and the bank credit."
MATCH012,exact,BANK0012,BOOK0012,99,"Reference number (INV1012), amount (5000), date and counterparty name all match exactly between the book entry and the bank credit."
MATCH013,exact,BANK0013,BOOK0013,99,"Reference number (INV1013), amount (7500), date and counterparty name all match exactly between the book entry and the bank credit."
MATCH014,exact,BANK0014,BOOK0014,99,"Reference number (INV1014), amount (10000), date and counterparty name all match exactly between the book entry and the bank credit."
