bank_transaction_id,date,time,description,amount,balance,reference,channel,currency,notes
BNK-001,2026-06-02,09:14:22,ACH CREDIT ACME CORP LLC,1250.00,49500.00,ACH-REF-4421893,ACH,USD,
BNK-002,2026-06-05,11:32:07,WIRE TRANSFER IN BLUESTAR MEDIA GROUP,3400.00,52900.00,WIRE-20260605-0082,WIRE,USD,
BNK-006,2026-06-09,08:52:16,ACH CREDIT REDWOOD PARTNERS GROUP,1800.00,54700.00,ACH-REF-4428554,ACH,USD,
BNK-003,2026-06-10,14:18:53,ACH CREDIT NEXGEN SOLUTIONS INC,875.00,55575.00,ACH-REF-4430217,ACH,USD,
BNK-014,2026-06-12,13:55:19,WIRE TRANSFER IN ORION SYSTEMS CORP,3750.00,59325.00,WIRE-20260612-0098,WIRE,USD,
BNK-015,2026-06-12,13:55:19,WIRE TRANSFER IN ORION SYSTEMS CORP,3750.00,63075.00,WIRE-20260612-0098,WIRE,USD,Possible duplicate import - same reference and timestamp as BNK-014
BNK-008,2026-06-13,07:45:31,STRIPE PAYOUT ST-8832XVKA VERTEX ANALYTICS,2427.20,65502.20,STRIPE-PAYOUT-ST-8832XVKA,ACH,USD,
BNK-016,2026-06-14,09:28:44,ACH CREDIT MAGNOLIA EVENTS AND CATERING,2200.00,67702.20,ACH-REF-4438819,ACH,USD,
BNK-004,2026-06-15,10:05:41,WIRE TRANSFER IN PINNACLE RETAIL PARTNERS,2100.00,69802.20,WIRE-20260615-0114,WIRE,USD,
BNK-018,2026-06-16,10:53:08,ACH DEBIT REFUND BLUESTAR MEDIA GROUP,-340.00,69462.20,ACH-REF-4441203,ACH,USD,
BNK-010,2026-06-17,16:02:58,INCOMING WIRE GLOBALBRIDGE GMBH EUR CONVERSION,3468.80,72931.00,WIRE-20260617-0128-FX,WIRE,USD,Original amount EUR 3200.00 implied rate 1.0840
BNK-007,2026-06-19,15:23:44,WIRE TRANSFER IN CASCADE LOGISTICS LLC,4250.00,77181.00,WIRE-20260619-0137,WIRE,USD,
BNK-021,2026-06-19,15:24:01,OUTGOING WIRE TRANSFER FEE,-30.00,77151.00,FEE-20260619-WTF,FEE,USD,
BNK-005,2026-06-20,13:47:29,ACH CREDIT HORIZON TECHNOLOGY LLC,650.00,77801.00,ACH-REF-4451089,ACH,USD,
BNK-011,2026-06-21,10:31:05,ACH CREDIT SUMMIT CREATIVE STUDIOS,2670.00,80471.00,ACH-REF-4453782,ACH,USD,
BNK-017,2026-06-22,14:07:51,ONLINE TRANSFER REF 8821-JKTP,375.00,80846.00,OT-8821-JKTP,ACH,USD,
BNK-019,2026-06-23,16:41:33,VISA CHARGEBACK CB-2026-0623-4821,-299.00,80547.00,CB-2026-0623-4821,CARD,USD,
BNK-009,2026-06-24,07:48:12,STRIPE PAYOUT ST-9941BQMR TECHFLOW INC,825.05,81372.05,STRIPE-PAYOUT-ST-9941BQMR,ACH,USD,
BNK-012,2026-06-25,11:14:37,CARD PAYMENT BRIGHTEDGE COMMERCE INC,1840.00,83212.05,REF-CARD-7721094,CARD,USD,
BNK-013,2026-06-25,11:16:22,CARD PAYMENT BRIGHTEDGE COMMERCE INC,1280.00,84492.05,REF-CARD-7721095,CARD,USD,
BNK-020,2026-06-30,00:00:01,MONTHLY SERVICE FEE BUSINESS CHECKING,-25.00,84467.05,FEE-20260630-BSC,FEE,USD,
BNK-022,2026-06-30,00:00:02,INTEREST CREDIT JUNE 2026,4.17,84471.22,INT-20260630-001,CREDIT,USD,
